,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
41,termination of pregnancy (sects. 218),x,87.0,17.0,70.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),x,5.0,0.0,5.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),x,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),x,10.0,1.0,9.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),x,5.0,1.0,4.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),X,2.0,0.0,2.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),X,1.0,0.0,1.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),X,3.0,0.0,3.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),X,1,0,1,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),m,5.0,1.0,4.0
42,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),m,2.0,0.0,2.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),m,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),m,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),m,1.0,0.0,1.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),m,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),M,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),M,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),M,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),M,0,0,0,breach of medical duties during a termination of pregnancy (sect. 218c PC),x,0.0,0.0,0.0
43,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),f,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),f,1.0,0.0,1.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),f,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),f,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),f,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),W,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),W,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),W,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),W,0,0,0,breach of medical duties during a termination of pregnancy (sect. 218c PC),f,0.0,0.0,0.0
44,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),x,2.0,0.0,2.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),x,1.0,0.0,1.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),x,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),x,1.0,0.0,1.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),x,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),X,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),X,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),X,0.0,0.0,0.0,breach of medical duties during a termination of pregnancy (sect. 218c PC),X,0,0,0,breach of medical duties during a termination of pregnancy (sect. 218c PC),w,0.0,0.0,0.0
45,breach of medical duties during a termination of pregnancy (sect. 218c PC),m,1.0,0.0,1.0,advertising for termination of pregnancy (sect. 219a PC),m,18.0,0.0,18.0,advertising for termination of pregnancy (sect. 219a PC),m,23.0,0.0,23.0,advertising for termination of pregnancy (sect. 219a PC),m,18.0,0.0,18.0,advertising for termination of pregnancy (sect. 219a PC),m,4.0,0.0,4.0,advertising for termination of pregnancy (sect. 219a PC),M,1.0,0.0,1.0,advertising for termination of pregnancy (sect. 219a PC),M,1.0,0.0,1.0,advertising for termination of pregnancy (sect. 219a PC),M,0.0,0.0,0.0,advertising for termination of pregnancy (sect. 219a PC),M,0,0,0,bringing means for termination of pregnancy into circulation (sect. 219b PC),m,0.0,0.0,0.0
46,breach of medical duties during a termination of pregnancy (sect. 218c PC),f,0.0,0.0,0.0,advertising for termination of pregnancy (sect. 219a PC),f,7.0,0.0,7.0,advertising for termination of pregnancy (sect. 219a PC),f,21.0,0.0,21.0,advertising for termination of pregnancy (sect. 219a PC),f,10.0,0.0,10.0,advertising for termination of pregnancy (sect. 219a PC),f,8.0,0.0,8.0,advertising for termination of pregnancy (sect. 219a PC),W,0.0,0.0,0.0,advertising for termination of pregnancy (sect. 219a PC),W,0.0,0.0,0.0,advertising for termination of pregnancy (sect. 219a PC),W,0.0,0.0,0.0,advertising for termination of pregnancy (sect. 219a PC),W,0,0,0,bringing means for termination of pregnancy into circulation (sect. 219b PC),f,1.0,0.0,1.0
47,breach of medical duties during a termination of pregnancy (sect. 218c PC),x,1.0,0.0,1.0,advertising for termination of pregnancy (sect. 219a PC),x,25.0,0.0,25.0,advertising for termination of pregnancy (sect. 219a PC),x,44.0,0.0,44.0,advertising for termination of pregnancy (sect. 219a PC),x,28.0,0.0,28.0,advertising for termination of pregnancy (sect. 219a PC),x,12.0,0.0,12.0,advertising for termination of pregnancy (sect. 219a PC),X,1.0,0.0,1.0,advertising for termination of pregnancy (sect. 219a PC),X,1.0,0.0,1.0,advertising for termination of pregnancy (sect. 219a PC),X,0.0,0.0,0.0,advertising for termination of pregnancy (sect. 219a PC),X,0,0,0,bringing means for termination of pregnancy into circulation (sect. 219b PC),x,1.0,0.0,1.0
48,advertising for termination of pregnancy (sect. 219a PC),m,1.0,0.0,1.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),m,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),m,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),m,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),m,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),M,1.0,0.0,1.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),M,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),M,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),M,0,0,0,offences against sexual self-determination in total,w,84304.0,29705.0,54599.0
49,advertising for termination of pregnancy (sect. 219a PC),f,2.0,0.0,2.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),f,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),f,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),f,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),f,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),W,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),W,1.0,0.0,1.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),W,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),W,0,0,0,offences against sexual self-determination in total,f,9403.0,4914.0,4489.0
50,advertising for termination of pregnancy (sect. 219a PC),x,3.0,0.0,3.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),x,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),x,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),x,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),x,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),X,1.0,0.0,1.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),X,1.0,0.0,1.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),X,0.0,0.0,0.0,bringing means for termination of pregnancy into circulation (sect. 219b PC),X,0,0,0,offences against sexual self-determination in total,m,93707.0,34619.0,59088.0
51,bringing means for termination of pregnancy into circulation (sect. 219b PC),m,0.0,0.0,0.0,offences against sexual self-determination,m,29886.0,7359.0,22527.0,offences against sexual self-determination,m,31522.0,8279.0,23243.0,commercial promotion of suicide,m,1.0,0.0,1.0,commercial promotion of suicide,m,0.0,0.0,0.0,commercial promotion of suicide,M,1.0,0.0,1.0,commercial promotion of suicide,M,0.0,0.0,0.0,commercial promotion of suicide,M,0.0,0.0,0.0,offences against sexual self-determination in total,M,79147,28813,50334,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",x,29061.0,6245.0,22816.0
52,bringing means for termination of pregnancy into circulation (sect. 219b PC),f,0.0,0.0,0.0,offences against sexual self-determination,f,2193.0,763.0,1430.0,offences against sexual self-determination,f,2011.0,677.0,1334.0,commercial promotion of suicide,f,0.0,0.0,0.0,commercial promotion of suicide,f,0.0,0.0,0.0,commercial promotion of suicide,W,0.0,0.0,0.0,commercial promotion of suicide,W,0.0,0.0,0.0,commercial promotion of suicide,W,0.0,0.0,0.0,offences against sexual self-determination in total,W,9583,4725,4858,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",f,666.0,162.0,504.0
53,bringing means for termination of pregnancy into circulation (sect. 219b PC),x,0.0,0.0,0.0,offences against sexual self-determination,x,32079.0,8122.0,23957.0,offences against sexual self-determination,x,33533.0,8956.0,24577.0,commercial promotion of suicide,x,1.0,0.0,1.0,commercial promotion of suicide,x,0.0,0.0,0.0,commercial promotion of suicide,X,1.0,0.0,1.0,commercial promotion of suicide,X,0.0,0.0,0.0,commercial promotion of suicide,X,0.0,0.0,0.0,offences against sexual self-determination in total,X,88730,33538,55192,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",w,29727.0,6407.0,23320.0
54,offences against sexual self-determination,m,30782.0,7728.0,23054.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",m,9939.0,2220.0,7719.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",m,11313.0,2755.0,8558.0,offences against sexual self-determination,m,37762.0,10126.0,27636.0,offences against sexual self-determination in total,m,43036.0,11378.0,31658.0,offences against sexual self-determination in total,M,48770.0,15095.0,33675.0,offences against sexual self-determination in total,M,55770.0,18779.0,36991.0,offences against sexual self-determination in total,M,72169.0,27055.0,45114.0,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",M,27347,6169,21178,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",m,10144.0,2496.0,7648.0
55,offences against sexual self-determination,f,2319.0,805.0,1514.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",f,148.0,28.0,120.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",f,180.0,35.0,145.0,offences against sexual self-determination,f,2067.0,833.0,1234.0,offences against sexual self-determination in total,f,2500.0,1013.0,1487.0,offences against sexual self-determination in total,W,3552.0,1713.0,1839.0,offences against sexual self-determination in total,W,5222.0,2685.0,2537.0,offences against sexual self-determination in total,W,9477.0,4521.0,4956.0,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",W,575,161,414,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",f,151.0,33.0,118.0
56,offences against sexual self-determination,x,33101.0,8533.0,24568.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",x,10087.0,2248.0,7839.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",x,11493.0,2790.0,8703.0,offences against sexual self-determination,x,39829.0,10959.0,28870.0,offences against sexual self-determination in total,x,45536.0,12391.0,33145.0,offences against sexual self-determination in total,X,52322.0,16808.0,35514.0,offences against sexual self-determination in total,X,60992.0,21464.0,39528.0,offences against sexual self-determination in total,X,81646.0,31576.0,50070.0,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",X,27922,6330,21592,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",x,10295.0,2529.0,7766.0
57,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",m,10036.0,2247.0,7789.0,"rape and sexual coercion (sects. 177  (2, 3 and 4), 178 PC)",m,5823.0,1329.0,4494.0,"rape and sexual coercion (sects. 177  (2, 3 and 4), 178 PC)",m,6393.0,1556.0,4837.0,"offences against sexual self-determination with (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",m,18468.0,4474.0,13994.0,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",m,22518.0,5431.0,17087.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",M,22452.0,5283.0,17169.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",M,22155.0,4809.0,17346.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",M,22486.0,4983.0,17503.0,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",M,9913,2505,7408,"rape (sect. 177 (6, 7, 8) PC)",w,9697.0,2376.0,7321.0
58,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",f,160.0,43.0,117.0,"rape and sexual coercion (sects. 177  (2, 3 and 4), 178 PC)",f,73.0,17.0,56.0,"rape and sexual coercion (sects. 177  (2, 3 and 4), 178 PC)",f,83.0,20.0,63.0,"offences against sexual self-determination with (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",f,303.0,67.0,236.0,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",f,369.0,81.0,288.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",W,414.0,100.0,314.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",W,448.0,90.0,358.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",W,525.0,108.0,417.0,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",W,132,45,87,"rape (sect. 177 (6, 7, 8) PC)",f,142.0,31.0,111.0
59,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178 PC)",x,10196.0,2290.0,7906.0,"rape and sexual coercion (sects. 177  (2, 3 and 4), 178 PC)",x,5896.0,1346.0,4550.0,"rape and sexual coercion (sects. 177  (2, 3 and 4), 178 PC)",x,6476.0,1576.0,4900.0,"offences against sexual self-determination with (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",x,18771.0,4541.0,14230.0,"offences against sexual self-determination (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",x,22887.0,5512.0,17375.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",X,22866.0,5383.0,17483.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",X,22603.0,4899.0,17704.0,"offences against sexual self-determination with use of violence or exploiting a state of dependence (sects. 174, 174a, 174b, 174c, 177, 178, 184i, 184j PC)",X,23011.0,5091.0,17920.0,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",X,10045,2550,7495,"rape (sect. 177 (6, 7, 8) PC)",m,9839.0,2407.0,7432.0
60,"rape and sexual coercion (sects. 177  (2, 3 and 4), 178 PC)",m,6086.0,1433.0,4653.0,"rape by sudden attack (individual offender) (sect. 177 (2) no. 1, (3 and 4) PC)",m,690.0,131.0,559.0,"rape by sudden attack (individual offender) (sect. 177 (2) no. 1, (3 and 4) PC)",m,726.0,123.0,603.0,"rape and sexual coercion / sexual assaults (sects. 177  (1, 2, 3, 4, 6, 7, 8 and 9), 178 PC)",m,9307.0,2361.0,6946.0,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",m,7945.0,2013.0,5932.0,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",M,8095.0,2008.0,6087.0,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",M,8376.0,2026.0,6350.0,"rape, sexual coercion and sexual assault in especially serious cases including resulting in death (sects. 177, 178 PC)",M,8558.0,2193.0,6365.0,"rape (sect. 177 (6, 7, 8) PC)",M,9341,2349,6992,"rape (sect. 177 (6) nos. 1, 2 PC (excluding key 111730)",x,8244.0,2045.0,6199.0
